title,genres,description,rating
Inception,Sci-Fi|Action|Thriller,"A skilled thief steals corporate secrets through dream-sharing technology",8.8
The Matrix,Sci-Fi|Action|Adventure,"A hacker learns reality is a simulation and joins a rebellion",8.7
Interstellar,Adventure|Drama|Sci-Fi,"Explorers travel through a wormhole seeking a new home for humanity",8.6
The Shawshank Redemption,Drama|Crime,"Two imprisoned men bond over years, finding solace in hope and redemption",9.3
The Godfather,Crime|Drama,"The aging patriarch of an organized crime dynasty transfers control to his reluctant son",9.2
Pulp Fiction,Crime|Drama,"Interwoven stories from the criminal underworld, told with dark humor and style",8.9
The Dark Knight,Action|Crime|Drama,"Batman faces the chaotic Joker while protecting Gotham City",9.0
La La Land,Drama|Music|Romance,"A jazz pianist and an aspiring actress fall in love while chasing their dreams in LA",8.0
The Lion King,Animation|Adventure|Drama,"A young lion prince flees his kingdom only to reclaim his destiny as king",8.5
Titanic,Drama|Romance,"A wealthy passenger and a poor artist fall in love aboard the ill-fated RMS Titanic",7.8
The Social Network,Biography|Drama,"The founding of Facebook and the lawsuits that followed its creators",7.7
Spirited Away,Animation|Adventure|Family,"A girl trapped in a magical bathhouse must save her parents and find a way home",8.6
Arrival,Drama|Mystery|Sci-Fi,"A linguist works to communicate with aliens after mysterious spacecraft appear worldwide",7.9
The Grand Budapest Hotel,Adventure|Comedy|Drama,"A legendary concierge and a lobby boy become friends amid theft and murder",8.1
Mad Max: Fury Road,Action|Adventure|Sci-Fi,"A woman rebels against a tyrant in a post-apocalyptic wasteland with a drifter named Max",8.1
Jurassic Park,Action|Adventure|Sci-Fi,"Scientists reopen a dinosaur theme park with dangerously underestimated consequences",8.1
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,"A couple undergoes a procedure to erase memories of each other",8.3
Black Panther,Action|Adventure|Sci-Fi,"A young king defends his technologically advanced African nation from threats",7.3
Coco,Animation|Adventure|Family,"A boy journeys through the Land of the Dead to find his great-great-grandfather",8.4
The Prestige,Drama|Mystery|Sci-Fi,"Two rival magicians compete to create the ultimate illusion in Victorian London",8.5
